n,Sgamm,Sbeta,Hepsi,Calph,Cgamm,Cdelt,Hegamm,Halph,Cepsi,Salph,Hbeta,Sepsi,Sdelt,Hdelt,Hgamm,Cbeta,Hebeta,Hedelt,Healph,Heepsi
400,304.98285409954366,204.08024848663572,504.2831907531908,102.41861729099756,304.9733183096484,405.12444336758495,304.9454655901103,102.36757719399668,504.5346244949816,102.42181967742684,203.9721678107425,504.55040009201,405.13711064482345,404.9225504751223,304.82133551432344,204.07386758244664,204.0552298464298,405.0874440078977,102.40926356445289,504.4885461643551
401,302.71529096739664,202.5610344221168,500.5429664638246,101.65525029144906,302.7058260765874,402.1160072039841,302.6781804434448,101.60459061674575,500.7925353435589,101.65842880920891,202.4537583203268,500.8081939343649,402.1285804145832,401.91561355919407,302.5549732811256,202.5547010186509,202.5362020256574,402.0792825999022,101.6459662819769,500.74679877187776
402,300.47015160537427,201.05686215818773,496.8396392729812,100.89945072720178,300.46075691253503,399.13728505210986,300.43331631792535,100.849167703581,497.0873616874164,100.90260561290788,200.95038266437984,497.1029044262596,399.149765125156,398.9383758470789,300.3110229424483,201.05057578513836,201.0322141614679,399.1008324899009,100.89023574368048,497.0419635032481
403,298.24715951224806,199.5675459924664,493.1727553100375,100.15112505793654,298.2378343249081,396.1879109602146,298.21059674622035,100.10121496079884,493.4186494296327,100.15425654527982,199.4618552388673,493.4340774565743,396.2002988133517,395.9904715694002,298.08920814349784,199.5613061853332,199.54308057424484,396.1517277595676,100.1419784177874,493.3735863030169
404,296.04604226807186,198.09290296696824,489.5418673876628,99.41018112739668,296.03678590227804,393.26752437169614,296.0097493417802,99.36064027806847,489.7859511599114,99.41328944718654,197.98799318269903,489.8012656010232,393.2798209112945,393.07154034923866,295.8892566086014,198.08670926697152,198.06861832843296,393.23160788522944,99.40110215645744,489.7412198017488
405,293.86653146410794,196.6327528208853,485.9465348872935,98.67652813957484,293.8573432442995,390.3757700325147,293.830505728772,98.62735290463056,486.1888260399979,98.6796135197817,196.5286163305329,486.2040280075674,390.38797615383663,390.1812271095944,293.71090007117016,196.62660477488132,196.60864718532275,390.3401176452913,98.6675161719755,486.1444232014501
406,291.70836263405494,195.18691794432627,482.3863236468348,97.9500766353065,291.6992418929399,387.5122979004231,291.6726014733157,97.90126342590234,482.6268396913258,97.9531393011036,195.08354716653963,482.6419302840591,387.52441448778575,387.3191819826629,291.5538742049638,195.18081510472464,195.1629895567965,387.47690702947466,97.94113101334725,482.5827621632261
407,289.57127518668216,193.7552233329513,478.86080585056425,97.23073846941814,289.56222126511653,384.67676305601935,289.5357760161274,97.18228374063727,479.0995640848655,97.23377864322266,193.65261077906143,479.1145443880845,384.6887909829554,384.4850602209325,289.4179185567606,193.7491652576334,193.7314704599685,384.6416311498788,97.22185854344926,479.0558086971376
408,287.4550123397328,192.33749654345948,475.3695599211364,96.51842678821524,287.44602458660125,381.8688256154473,287.41977260642955,96.4703270384242,475.6065774330744,96.52144468972864,192.2356348161233,475.6214485189134,381.8807657448619,381.6785221099269,287.3027764802952,192.3314827956984,192.31391747267816,381.8339501536883,96.50961191651928,475.5631410541637
409,285.35932105513325,190.9335676500041,471.9121704137361,95.81305600748314,285.350398827232,379.0881506448591,285.324338237169,95.7653077776991,472.1474640839982,95.81605185373084,190.832449441871,472.1622270115947,379.1000038291848,378.89923288271217,285.2081950715028,190.927597798386,190.91016068991024,379.0535291376444,95.80430555615888,472.1043436203109
410,283.283951975454,189.5432692014024,468.488227912253,95.11454179090283,283.275094637376,376.3344080765151,283.2492235814856,95.06714166417188,468.7218144173932,95.1175157962733,189.44288729380364,468.73647023307694,376.3461751578639,376.146862636037,283.1339251050131,189.5373428197489,189.52003268101012,376.300038064152,95.10585513375138,468.6790068127453
